parameter,independent_variables,1
alpha[deg],Cx_qbar_lef,Cz_qbar_lef,Cm_qbar_lef
-20,2.79603404,-34.60665083,0.841102043
-15,2.79603404,-34.60665083,0.841102043
-10,2.79603404,-34.60665083,0.841102043
-5,3.80443976,-8.479775368,-6.6004738
0,3.712766512,-1.375098708,-0.572957795
5,3.621093265,2.979380535,-0.618794419
10,4.491989114,-0.687549354,0.481284548
15,5.752496263,8.708958486,-0.825059225
20,4.675335608,10.54242343,2.887707287
25,3.758603136,0.458366236,5.752496263
30,1.888468893,6.187944187,3.80443976
35,1.872426074,8.021409132,3.941949631
40,2.521014299,2.979380535,2.750197417
45,1.260507149,1.489690267,1.375098708
