column,mean,stdev,min,max,n
 time[s]            ,10.0,0.0,10.0,10.0,10000
 dt[s]              ,0.010000000000001426,1.4260139997355288e-15,0.01,0.01,10000
 u[ft/s]            ,347.2412912597457,11.612222623594688,294.6667908232,392.7778149383,10000
 v[ft/s]            ,-0.06657938026035061,21.107955337230255,-77.47001881491,90.92832912392,10000
 w[ft/s]            ,48.032180974799104,18.787666783774508,-25.8001446626,140.9986238307,10000
 p[rad/s]           ,-0.000426773334055238,0.14274191252393448,-0.5447925941578,0.565957352695,10000
 q[rad/s]           ,-0.0014422725275189227,0.040128787466919724,-0.1731395415074,0.1510042939031,10000
 r[rad/s]           ,0.0007002784080842226,0.07106497909637308,-0.331044533175,0.329071857469,10000
 x[ft]              ,3496.70123492539,44.40007485426459,3333.201650681,3655.42007509,10000
 y[ft]              ,2.1011999441342444,139.8382030275437,-505.6144198532,528.5867512124,10000
 z[ft]              ,-2970.634599379378,62.25716880915614,-3245.286030654,-2724.711977475,10000
 e0                 ,0.9888616996322751,0.01104277269212446,0.8851878100788,0.9999961796951,10000
 ex                 ,0.0005430007682958131,0.11218125690440041,-0.4248489383569,0.4034396625761,10000
 ey                 ,0.06290881251380472,0.03124788929658453,-0.07703004687179,0.201929457463,10000
 ez                 ,0.0007688369637967927,0.06717846477016941,-0.252146852079,0.2393330603881,10000
 aileron[deg]       ,0.0,0.0,0.0,0.0,10000
 elevator[deg]      ,-9.258535573714955,1.044550050375619e-12,-9.258535573716,-9.258535573716,10000
 rudder[deg]        ,0.0,0.0,0.0,0.0,10000
 throttle           ,0.07553867485538861,1.139423351613498e-14,0.0755386748554,0.0755386748554,10000
 d_aileron          ,0.0,0.0,0.0,0.0,10000
 d_elevator         ,0.0,0.0,0.0,0.0,10000
 d_rudder           ,0.0,0.0,0.0,0.0,10000
 d_throttle         ,0.0,0.0,0.0,0.0,10000
 aileron_sp[deg]    ,0.0,0.0,0.0,0.0,10000
 elevator_sp[deg]   ,-9.258535573714955,1.044550050375619e-12,-9.258535573716,-9.258535573716,10000
 rudder_sp[deg]     ,0.0,0.0,0.0,0.0,10000
 throttle_sp[none]  ,0.07553867485538861,1.139423351613498e-14,0.0755386748554,0.0755386748554,10000
